,sym,date,time,price,size,cond,cancelled,exchTime,exchDate,exch
122,0005.HK,2019-09-04,09:30:15.624,56.5,400,,0,09:30:15.000,2019-09-04,HKG
123,0005.HK,2019-09-04,09:30:15.624,56.5,400,,0,09:30:15.000,2019-09-04,HKG
124,0005.HK,2019-09-04,09:30:16.040,56.5,800,,0,09:30:16.000,2019-09-04,HKG
125,0005.HK,2019-09-04,09:30:18.965,56.4,400,,0,09:30:18.000,2019-09-04,HKG
126,0005.HK,2019-09-04,09:30:19.008,56.4,400,,0,09:30:19.000,2019-09-04,HKG
127,0005.HK,2019-09-04,09:30:19.027,56.4,2800,,0,09:30:19.000,2019-09-04,HKG
128,0005.HK,2019-09-04,09:30:19.975,56.5,400,,0,09:30:19.000,2019-09-04,HKG
129,0005.HK,2019-09-04,09:30:20.079,56.5,800,,0,09:30:20.000,2019-09-04,HKG
130,0005.HK,2019-09-04,09:30:20.515,56.5,400,,0,09:30:20.000,2019-09-04,HKG
131,0005.HK,2019-09-04,09:30:22.031,56.4,10400,,0,09:30:22.000,2019-09-04,HKG
132,0005.HK,2019-09-04,09:30:22.031,56.4,7600,,0,09:30:22.000,2019-09-04,HKG
133,0005.HK,2019-09-04,09:30:22.031,56.4,21200,,0,09:30:22.000,2019-09-04,HKG
134,0005.HK,2019-09-04,09:30:22.031,56.4,1200,,0,09:30:22.000,2019-09-04,HKG
135,0005.HK,2019-09-04,09:30:22.031,56.4,6800,,0,09:30:22.000,2019-09-04,HKG
136,0005.HK,2019-09-04,09:30:22.031,56.4,4400,,0,09:30:22.000,2019-09-04,HKG
137,0005.HK,2019-09-04,09:30:22.031,56.4,400,,0,09:30:22.000,2019-09-04,HKG
138,0005.HK,2019-09-04,09:30:22.031,56.4,400,,0,09:30:22.000,2019-09-04,HKG
139,0005.HK,2019-09-04,09:30:22.031,56.4,400,,0,09:30:22.000,2019-09-04,HKG
140,0005.HK,2019-09-04,09:30:22.031,56.4,6400,,0,09:30:22.000,2019-09-04,HKG
141,0005.HK,2019-09-04,09:30:22.031,56.4,4000,,0,09:30:22.000,2019-09-04,HKG
142,0005.HK,2019-09-04,09:30:22.031,56.4,2400,,0,09:30:22.000,2019-09-04,HKG
143,0005.HK,2019-09-04,09:30:22.033,56.4,64800,,0,09:30:22.000,2019-09-04,HKG
144,0005.HK,2019-09-04,09:30:22.043,56.5,800,,0,09:30:22.000,2019-09-04,HKG
145,0005.HK,2019-09-04,09:30:23.013,56.4,2400,,0,09:30:23.000,2019-09-04,HKG
146,0005.HK,2019-09-04,09:30:23.021,56.5,400,,0,09:30:23.000,2019-09-04,HKG
147,0005.HK,2019-09-04,09:30:23.025,56.4,800,,0,09:30:23.000,2019-09-04,HKG
148,0005.HK,2019-09-04,09:30:25.003,56.4,400,,0,09:30:25.000,2019-09-04,HKG
149,0005.HK,2019-09-04,09:30:25.138,56.5,400,,0,09:30:25.000,2019-09-04,HKG
150,0005.HK,2019-09-04,09:30:25.138,56.5,400,,0,09:30:25.000,2019-09-04,HKG
151,0005.HK,2019-09-04,09:30:25.138,56.5,3200,,0,09:30:25.000,2019-09-04,HKG
152,0005.HK,2019-09-04,09:30:25.138,56.5,400,,0,09:30:25.000,2019-09-04,HKG
153,0005.HK,2019-09-04,09:30:25.139,56.5,400,,0,09:30:25.000,2019-09-04,HKG
154,0005.HK,2019-09-04,09:30:25.139,56.5,2000,,0,09:30:25.000,2019-09-04,HKG
155,0005.HK,2019-09-04,09:30:25.139,56.5,400,,0,09:30:25.000,2019-09-04,HKG
156,0005.HK,2019-09-04,09:30:25.139,56.5,1600,,0,09:30:25.000,2019-09-04,HKG
157,0005.HK,2019-09-04,09:30:25.139,56.5,800,,0,09:30:25.000,2019-09-04,HKG
